経過時間(s),初速度(0.0kph),初速度(5.0kph),初速度(10.0kph),初速度(15.0kph),初速度(20.0kph),初速度(25.0kph),初速度(30.0kph),初速度(35.0kph),初速度(40.0kph),初速度(45.0kph),初速度(50.0kph),初速度(55.0kph),初速度(60.0kph),初速度(65.0kph),初速度(70.0kph),初速度(75.0kph),初速度(80.0kph),初速度(85.0kph),初速度(90.0kph),初速度(95.0kph),初速度(100.0kph),初速度(105.0kph),初速度(110.0kph),初速度(115.0kph),初速度(120.0kph),初速度(125.0kph),初速度(130.0kph),初速度(135.0kph),初速度(140.0kph)
0,1.05,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.01,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.02,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.05,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.06,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.07,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.08,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.09,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.85,0.8,0.75,0.75,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.1,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.11,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.12,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4
0.13,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.14,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.15,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.16,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.17,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.18,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.19,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.2,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.21,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.22,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.23,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.4,0.4
0.24,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.5,0.45,0.45,0.4,0.4
0.25,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.5,0.45,0.45,0.4,0.4
0.26,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.5,0.45,0.45,0.4,0.4
0.27,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.75,0.7,0.65,0.6,0.6,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.28,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.75,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.29,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.3,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.7,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.31,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.32,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.33,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.34,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.36,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.37,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.38,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.39,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.65,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
0.41,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.85,0.85,0.8,0.75,0.7,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.45,0.45,0.45,0.4,0.4
